"sample_key","cluster_dtw","Date","Sample_ID","MouseID","Sex","Age","Genotype","Replicate","Average_diameter..um.","C.s.a..um.squared.","C.s.a..mm.squared.","Date_ID","FileName","exclusion_reason"
"210330.MRC.Sample.A1Data",4,"30.03.2021","A","156.3","F","8wks","Tm1b Wt",1,181.414,25848.2699,0.02584827,210330,"210330 MRC Sample A1Data.csv",NA
"210330.MRC.Sample.A10Data",4,"30.03.2021","A","156.3","F","8wks","Tm1b Wt",10,207.4026667,33784.58227,0.033784582,210330,"210330 MRC Sample A10Data.csv",NA
"210330.MRC.Sample.A3Data",2,"30.03.2021","A","156.3","F","8wks","Tm1b Wt",3,137.292,14804.04323,0.014804043,210330,"210330 MRC Sample A3Data.csv",NA
"210330.MRC.Sample.A2Data",2,"30.03.2021","A","156.3","F","8wks","Tm1b Wt",2,166.145,21680.25737,0.021680257,210330,"210330 MRC Sample A2Data.csv",NA
"210330.MRC.Sample.A5Data",2,"30.03.2021","A","156.3","F","8wks","Tm1b Wt",5,170.9096667,22941.57002,0.02294157,210330,"210330 MRC Sample A5Data.csv",NA
"210330.MRC.Sample.A4Data",4,"30.03.2021","A","156.3","F","8wks","Tm1b Wt",4,139.3526667,15251.77709,0.015251777,210330,"210330 MRC Sample A4Data.csv",NA
"210330.MRC.Sample.A7Data",2,"30.03.2021","A","156.3","F","8wks","Tm1b Wt",7,143.5226667,16178.22502,0.016178225,210330,"210330 MRC Sample A7Data.csv",NA
"210330.MRC.Sample.A9Data",2,"30.03.2021","A","156.3","F","8wks","Tm1b Wt",9,120.313,11368.80961,0.01136881,210330,"210330 MRC Sample A9Data.csv",NA
"210330.MRC.Sample.B1Data",4,"30.03.2021","B","156.5","F","8wks","Tm1b Wt",1,179.37,25269.08392,0.025269084,210330,"210330 MRC Sample B1Data.csv",NA
"210330.MRC.Sample.B10Data",4,"30.03.2021","B","156.5","F","8wks","Tm1b Wt",10,129.494,13170.10307,0.013170103,210330,"210330 MRC Sample B10Data.csv",NA
"210330.MRC.Sample.B2Data",2,"30.03.2021","B","156.5","F","8wks","Tm1b Wt",2,194.3963333,29680.14507,0.029680145,210330,"210330 MRC Sample B2Data.csv",NA
"210330.MRC.Sample.B3Data",2,"30.03.2021","B","156.5","F","8wks","Tm1b Wt",3,177.088,24630.21187,0.024630212,210330,"210330 MRC Sample B3Data.csv",NA
"210330.MRC.Sample.B4Data",1,"30.03.2021","B","156.5","F","8wks","Tm1b Wt",4,223.92,39379.9946,0.039379995,210330,"210330 MRC Sample B4Data.csv",NA
"210330.MRC.Sample.B5Data",4,"30.03.2021","B","156.5","F","8wks","Tm1b Wt",5,100.7156667,7966.800561,0.007966801,210330,"210330 MRC Sample B5Data.csv",NA
