File name,Date,Sample ID,Replicate number,Mouse ID,Sex,Age,Genotype,Stress-relaxation 60s,Rate of change of stress 60s,S60 clamped,Hysteresis strain energy per unit volume,Hysteresis %,Average diameter (um),C.s.a (um squared),C.s.a (mm squared),Sample length (mm),Failure force (N) - corrected,Failure stress (MPa) - corrected,Failure strain (%) - corrected,Failure extension (mm) - corrected,Max modulus (sliding window),Stress at max modulus (sliding window),Strain at max modulus (sliding window),Time at max modulus (s),Force at max modulus (N),Displacement at max modulus (mm),Max modulus fit R2,Max modulus fit intercept (MPa),Max modulus fit n points,SNR preconditioning,SNR hold,SNR failure,SNR preconditioning pass,SNR hold pass,SNR failure pass,Residual preconditioning,Residual hold,Residual failure,Residual preconditioning pass,Residual hold pass,Residual failure pass,Range preconditioning,Range hold,Range failure,Range preconditioning pass,Range hold pass,Range failure pass,Preconditioning pass,Hold pass,Failure pass,Force-Time plot,Force-Extension plot
210330 MRC Sample A1Data.csv,30.03.2021,A,1,156.3,F,8wks,Tm1b Wt,22.16604474,-0.0157464429,False,0.01722989424,32.55836063,181.414,25848.2699,0.02584827,14.34,0.257,9.942638327,5.125523013,0.735,379.6005084,5.416223213,0.03054393305,787.39,-0.126,0.438,0.914873326,-6.180784924,103,40.90889603,61.08140284,125.5799881,True,True,True,0.01919330255,0.02315841318,0.01781724242,True,True,True,0.171,0.144,0.284,True,True,True,True,True,True,results/plots/210330_Sample_A1_force_time.png,results/plots/210330_Sample_A1_force_extension.png
210330 MRC Sample A10Data.csv,30.03.2021,A,10,156.3,F,8wks,Tm1b Wt,29.19133808,-0.01313791916,False,0.02816536765,33.90642076,207.4026667,33784.58227,0.033784582,14.331,0.172,5.091079712,4.556555718,0.653,151.5767687,2.071951046,0.02512036843,786.42,0.165,0.36,0.8278047268,-1.592865345,179,17.67258827,15.61205327,26.45589802,True,True,True,0.02687868761,0.040043217,0.0249698851,True,True,True,0.166,0.118,0.209,True,True,True,True,True,True,results/plots/210330_Sample_A10_force_time.png,results/plots/210330_Sample_A10_force_extension.png
210330 MRC Sample A3Data.csv,30.03.2021,A,3,156.3,F,8wks,Tm1b Wt,16.24050585,-0.01928672719,False,0.01553919227,21.86945399,137.292,14804.04323,0.014804043,14,0.493,33.30171359,7.392857143,1.035,853.2183083,7.295304398,0.02442857143,786.3,-0.201,0.342,0.9615501107,-13.74808112,181,20.72945308,31.59204433,337.8509762,True,True,True,0.03828931477,0.02568218693,0.01583867932,True,True,True,0.123,0.129,0.498,True,True,True,True,True,True,results/plots/210330_Sample_A3_force_time.png,results/plots/210330_Sample_A3_force_extension.png
210330 MRC Sample A2Data.csv,30.03.2021,A,2,156.3,F,8wks,Tm1b Wt,24.95443925,-0.02476647601,False,0.03959607454,33.86370392,166.145,21680.25737,0.021680257,14,0.611,28.18232275,13.88571429,1.944,592.0526823,6.918737172,0.02664285714,786.68,0.197,0.373,0.9667731638,-8.715470348,180,118.73602,38.62580353,143.257897,True,True,True,0.02010260064,0.03063865847,0.008882438524,True,True,True,0.198,0.15,0.627,True,True,True,True,True,True,results/plots/210330_Sample_A2_force_time.png,results/plots/210330_Sample_A2_force_extension.png
210330 MRC Sample A5Data.csv,30.03.2021,A,5,156.3,F,8wks,Tm1b Wt,24.99353978,-0.02935752962,False,0.04963220535,46.00241662,170.9096667,22941.57002,0.02294157,14.001,0.637,27.76619037,27.91229198,3.908,751.470078,14.68949161,0.1071352046,801.16,-0.009,1.5,0.7280094859,-65.90204812,83,16.30113469,37.65498593,100.8375683,True,True,True,0.02958590816,0.02787741639,0.02844305679,True,True,True,0.192,0.192,0.642,True,True,True,True,True,True,results/plots/210330_Sample_A5_force_time.png,results/plots/210330_Sample_A5_force_extension.png
210330 MRC Sample A4Data.csv,30.03.2021,A,4,156.3,F,8wks,Tm1b Wt,31.02304741,-0.03313419347,False,0.03389434522,29.07143509,139.3526667,15251.77709,0.015251777,14.001,0.434,28.4557006,14.16327405,1.983,574.5360886,3.212740391,0.02228412256,785.92,0.101,0.312,0.9129754352,-9.690433507,135,16.79486547,13.53541995,57.16524645,True,True,True,0.03750604432,0.05226356504,0.01780951924,True,True,True,0.155,0.117,0.46,True,True,True,True,True,True,results/plots/210330_Sample_A4_force_time.png,results/plots/210330_Sample_A4_force_extension.png
210330 MRC Sample A7Data.csv,30.03.2021,A,7,156.3,F,8wks,Tm1b Wt,12.55840052,-0.01394841825,False,0.06272516505,45.34027398,143.5226667,16178.22502,0.016178225,13.999,0.611,37.76681311,19.10136438,2.674,747.7976408,7.293754414,0.02664476034,786.69,0.122,0.373,0.9673939591,-12.80960666,178,46.34395214,15.82266606,92.87166092,True,True,True,0.02925074866,0.03553165968,0.01185420822,True,True,True,0.177,0.134,0.627,True,True,True,True,True,True,results/plots/210330_Sample_A7_force_time.png,results/plots/210330_Sample_A7_force_extension.png
210330 MRC Sample A9Data.csv,30.03.2021,A,9,156.3,F,8wks,Tm1b Wt,9.796854026,-0.01572349376,False,0.03939218809,29.07179379,120.313,11368.80961,0.01136881,14,0.568,49.96125364,13.48571429,1.888,1044.143813,14.07359257,0.03078571429,787.43,0.202,0.431,0.9736697835,-17.84895341,179,19.1335626,15.88221087,90.25603927,True,True,True,0.03573746361,0.03490950542,0.02099094524,True,True,True,0.16,0.139,0.579,True,True,True,True,True,True,results/plots/210330_Sample_A9_force_time.png,results/plots/210330_Sample_A9_force_extension.png
210330 MRC Sample B1Data.csv,30.03.2021,B,1,156.5,F,8wks,Tm1b Wt,12.95098202,-0.007224800234,False,0.02761469723,33.05347105,179.37,25269.08392,0.025269084,14,0.199,7.875236,4.842857143,0.678,259.4156103,4.273997427,0.03,787.29,0.176,0.42,0.686224633,-3.272353011,104,59.17010558,10.49103222,23.20312657,True,True,True,0.04669787181,0.05202917151,0.02720685986,True,True,True,0.128,0.107,0.209,True,True,True,True,True,True,results/plots/210330_Sample_B1_force_time.png,results/plots/210330_Sample_B1_force_extension.png
210330 MRC Sample B10Data.csv,30.03.2021,B,10,156.5,F,8wks,Tm1b Wt,12.81615275,-0.001791287918,False,0.01249390967,15.21247491,129.494,13170.10307,0.013170103,14,0.386,29.30880647,8.721428571,1.221,730.1818332,6.150293585,0.03307142857,787.84,0.224,0.463,0.955476109,-18.48731738,180,7.372093379,8.229050333,267.889756,True,True,True,0.04091604484,0.1063230091,0.01222101021,True,False,True,0.08,0.038,0.396,True,True,True,True,False,True,results/plots/210330_Sample_B10_force_time.png,results/plots/210330_Sample_B10_force_extension.png
210330 MRC Sample B2Data.csv,30.03.2021,B,2,156.5,F,8wks,Tm1b Wt,1.392947626,-0.001164171865,False,0.007350468596,28.00178289,194.3963333,29680.14507,0.029680145,14,0.594,20.01337931,7.557142857,1.058,384.7351767,10.10776733,0.03892857143,788.9,0.401,0.545,0.9715471348,-4.822130701,169,15.43139418,20.72979884,81.19093672,True,True,True,0.03545000032,0.03107589267,0.03092951657,True,True,True,0.171,0.166,0.594,True,True,True,True,True,True,results/plots/210330_Sample_B2_force_time.png,results/plots/210330_Sample_B2_force_extension.png
210330 MRC Sample B3Data.csv,30.03.2021,B,3,156.5,F,8wks,Tm1b Wt,24.02284297,-0.02482403529,False,0.04957260781,41.46843689,177.088,24630.21187,0.024630212,14,0.423,17.17403001,6.628571429,0.928,409.2314653,8.282510926,0.03214285714,787.69,0.31,0.45,0.9399645038,-5.172175724,178,19.36296449,20.97780584,63.04910179,True,True,True,0.03125036435,0.03044534278,0.02363976052,True,True,True,0.192,0.166,0.428,True,True,True,True,True,True,results/plots/210330_Sample_B3_force_time.png,results/plots/210330_Sample_B3_force_extension.png
210330 MRC Sample B4Data.csv,30.03.2021,B,4,156.5,F,8wks,Tm1b Wt,13.23894161,-0.02174690305,False,0.04702292672,35.55664853,223.92,39379.9946,0.039379995,14.001,1.168,29.65972951,7.306620956,1.023,545.0437291,15.23616242,0.03564031141,788.3,0.743,0.499,0.9892438497,-3.972032284,169,59.88425784,56.60158673,861.8463672,True,True,True,0.0100443053,0.01200607551,0.02250975929,True,True,True,0.45,0.45,1.21,True,True,True,True,True,True,results/plots/210330_Sample_B4_force_time.png,results/plots/210330_Sample_B4_force_extension.png
210330 MRC Sample B5Data.csv,30.03.2021,B,5,156.5,F,8wks,Tm1b Wt,5.697538074,-0.01441306995,False,0.09228884286,30.51824614,100.7156667,7966.800561,0.007966801,14,0.461,57.86513307,7.057142857,0.988,989.599355,32.38439118,0.04128571429,789.33,0.401,0.578,0.8729612679,-8.88483453,121,22.15306842,81.01698164,265.6203225,True,True,True,0.02374721064,0.03587111115,0.03503092188,True,True,True,0.145,0.134,0.471,True,True,True,True,True,True,results/plots/210330_Sample_B5_force_time.png,results/plots/210330_Sample_B5_force_extension.png
